DEBUG: Program start.
DEBUG: White out frame buffer.
DEBUG: Build pt array.
received pt  {.x=-50.107988, .y=3425.299434, .z=7881.660969}
received pt  {.x=-54852.411866, .y=-402652075.293260, .z=2820451.216940}
received pt  {.x=241790813306022277448466432.000000, .y=35749075917579717763621153982705003692818432.000000, .z=59140523810333491200.000000}
received pt  {.x=-3297284805218306583832641732569555813566663872020773976767531524821086902183681434517015495759325297493590280963447367049440291400652590018555396762560568223354850023997177856.000000, .y=16981020635787809207989500766497087849130846413050081732069519204596024966360820291867134571660925183752143744467240977279784462827018763166523053337961145466325958967428786034926153224835907655857984796177749822491178582482991689881746326801654765401315517492021314199854933136637952.000000, .z=-2060000471771625238983664358066031180493128644231105531591088250825107744765427871245039901400976725756709175296.000000}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
received pt  {.x=-nan, .y=-nan, .z=-nan}
